countType,count,recentRound,recentDate,no1,no2,no3,no4
2,12,1205,20260103,1,16,,
2,12,1219,20260411,1,45,,
2,12,1145,20241109,2,11,,
2,12,1186,20250823,2,13,,
2,12,1220,20260418,2,25,,
2,12,1151,20241221,2,27,,
2,12,1220,20260418,2,34,,
2,12,1219,20260411,2,39,,
2,12,1219,20260411,2,45,,
2,12,1177,20250621,3,7,,
2,12,1159,20250215,3,9,,
2,12,1216,20260321,3,14,,
2,12,1195,20251025,3,34,,
2,12,1218,20260404,3,42,,
2,12,1175,20250607,4,8,,
2,12,1222,20260502,4,32,,
2,12,1042,20221119,5,14,,
2,12,1129,20240720,5,34,,
2,12,1221,20260425,6,13,,
2,12,1185,20250816,6,22,,
2,12,1221,20260425,6,36,,
2,12,1203,20251220,6,39,,
2,12,1180,20250712,6,41,,
2,12,1177,20250621,7,15,,
2,12,1160,20250222,7,18,,
2,12,1197,20251108,7,26,,
2,12,1132,20240810,7,41,,
2,12,1186,20250823,8,13,,
2,12,1204,20251227,8,16,,
2,12,1204,20251227,8,28,,
2,12,1217,20260328,8,31,,
2,12,1196,20251101,8,40,,
2,12,1137,20240914,9,12,,
2,12,1150,20241214,9,18,,
2,12,1201,20251206,9,24,,
2,12,1201,20251206,9,35,,
2,12,1210,20260207,9,38,,
2,12,1069,20230527,10,18,,
2,12,1214,20260307,10,19,,
2,12,1207,20260117,10,22,,
2,12,1214,20260307,10,33,,
2,12,1192,20251004,10,36,,
2,12,1213,20260228,11,27,,
2,12,1186,20250823,13,16,,
2,12,1194,20251018,13,24,,
2,12,1182,20250726,13,31,,
2,12,1187,20250830,13,40,,
2,12,1087,20230930,14,18,,
2,12,1102,20240113,14,26,,
2,12,1133,20240817,14,28,,
2,12,1131,20240803,14,38,,
2,12,1177,20250621,15,16,,
2,12,1199,20251122,16,25,,
2,12,1223,20260509,16,39,,
2,12,1177,20250621,16,43,,
2,12,1048,20221231,17,21,,
2,12,1209,20260131,17,39,,
2,12,1179,20250705,18,24,,
2,12,1014,20220507,18,27,,
2,12,1164,20250322,18,38,,
2,12,1089,20231014,18,42,,
2,12,1179,20250705,18,44,,
2,12,1190,20250920,19,23,,
2,12,1193,20251011,19,24,,
2,12,1214,20260307,19,27,,
2,12,1214,20260307,19,33,,
2,12,1141,20241012,21,26,,
2,12,1158,20250208,21,32,,
2,12,1140,20241005,22,31,,
2,12,1222,20260502,22,32,,
2,12,1220,20260418,22,34,,
2,12,1222,20260502,22,41,,
2,12,1216,20260321,23,24,,
2,12,1194,20251018,24,33,,
2,12,1201,20251206,24,35,,
2,12,1179,20250705,24,44,,
2,12,1213,20260228,25,36,,
2,12,1220,20260418,25,43,,
2,12,1198,20251115,26,33,,
2,12,1144,20241102,26,34,,
2,12,1166,20250405,27,29,,
2,12,1211,20260214,27,35,,
2,12,1220,20260418,28,34,,
2,12,1221,20260425,28,36,,
2,12,1220,20260418,28,43,,
2,12,1219,20260411,28,45,,
2,12,1084,20230909,29,33,,
2,12,1189,20250913,29,38,,
2,12,1196,20251101,29,45,,
2,12,1208,20260124,30,38,,
2,12,1100,20231230,31,43,,
2,12,1152,20241228,32,36,,
2,12,1136,20240907,33,42,,
2,12,1156,20250125,34,39,,
2,12,1209,20260131,35,37,,
2,12,1189,20250913,37,38,,
2,12,1136,20240907,38,44,,
2,12,1180,20250712,40,41,,
2,12,1212,20260221,41,44,,
2,11,1219,20260411,1,2,,
2,11,1206,20260110,1,3,,
2,11,1210,20260207,1,9,,
2,11,1182,20250726,1,13,,
2,11,1219,20260411,1,15,,
2,11,1173,20250524,1,35,,
2,11,1210,20260207,1,38,,
2,11,1206,20260110,1,42,,
2,11,1186,20250823,2,8,,
2,11,1161,20250301,2,12,,
2,11,1145,20241109,2,31,,
2,11,1200,20251129,2,32,,
2,11,1209,20260131,2,37,,
2,11,1220,20260418,2,43,,
2,11,1110,20240309,3,20,,
2,11,1216,20260321,3,23,,
2,11,1195,20251025,3,36,,
2,11,1203,20251220,3,39,,
2,11,1177,20250621,3,43,,
2,11,1222,20260502,4,11,,
2,11,1200,20251129,4,20,,
2,11,1089,20231014,4,43,,
2,11,1137,20240914,4,45,,
2,11,1178,20250628,5,6,,
2,11,1197,20251108,5,26,,
2,11,1131,20240803,6,14,,
2,11,1208,20260124,6,27,,
2,11,1180,20250712,6,40,,
2,11,1208,20260124,6,42,,
2,11,1210,20260207,7,27,,
2,11,1140,20241005,7,31,,
2,11,1190,20250920,7,45,,
2,11,1057,20230304,8,27,,
2,11,1167,20250412,8,35,,
2,11,1174,20250531,8,36,,
2,11,1154,20250111,8,38,,
2,11,1193,20251011,9,28,,
2,11,1191,20250927,11,12,,
2,11,1118,20240504,11,15,,
2,11,1213,20260228,11,25,,
2,11,1030,20220827,11,29,,
2,11,1174,20250531,11,39,,
2,11,1222,20260502,11,41,,
2,11,1191,20250927,12,20,,
2,11,1103,20240120,12,31,,
2,11,1202,20251213,12,40,,
2,11,1215,20260314,13,19,,
2,11,1194,20251018,13,37,,
2,11,1163,20250315,13,43,,
2,11,1215,20260314,13,44,,
2,11,1102,20240113,14,22,,
2,11,1216,20260321,14,23,,
2,11,1183,20250802,15,17,,
2,11,1033,20220917,15,35,,
2,11,1194,20251018,15,37,,
2,11,1223,20260509,16,18,,
2,11,1223,20260509,16,20,,
2,11,1205,20260103,16,23,,
2,11,1223,20260509,16,33,,
2,11,1184,20250809,16,37,,
2,11,1185,20250816,17,29,,
2,11,1183,20250802,17,36,,
2,11,1146,20241116,17,43,,
2,11,1092,20231104,18,19,,
2,11,1223,20260509,18,20,,
2,11,1164,20250322,18,23,,
2,11,1089,20231014,18,31,,
2,11,1193,20251011,19,28,,
2,11,1138,20240921,19,34,,
2,11,1032,20220910,19,42,,
2,11,1162,20250308,20,28,,
2,11,1191,20250927,20,41,,
2,11,1182,20250726,21,28,,
2,11,1098,20231216,21,43,,
2,11,1186,20250823,23,28,,
2,11,1115,20240413,23,34,,
2,11,1192,20251004,23,36,,
2,11,1096,20231202,23,43,,
2,11,1220,20260418,25,28,,
2,11,1212,20260221,25,31,,
2,11,1198,20251115,26,41,,
2,11,1158,20250208,27,37,,
2,11,1142,20241019,28,41,,
2,11,1217,20260328,29,31,,
2,11,1111,20240316,30,43,,
2,11,1204,20251227,30,44,,
2,11,1145,20241109,31,33,,
2,11,1212,20260221,31,44,,
2,11,1218,20260404,32,42,,
2,11,1136,20240907,33,35,,
2,11,1195,20251025,33,36,,
2,11,1201,20251206,35,36,,
2,11,1152,20241228,36,37,,
2,11,1192,20251004,36,39,,
2,11,1160,20250222,36,45,,
2,11,1180,20250712,37,41,,
2,11,1211,20260214,38,40,,
2,11,1099,20231223,38,43,,
2,11,1198,20251115,39,41,,
2,11,1003,20220219,39,43,,
2,11,1146,20241116,40,43,,
2,11,1098,20231216,41,43,,
2,11,1089,20231014,42,43,,
2,11,1218,20260404,42,45,,
2,10,1135,20240831,1,6,,
2,10,1206,20260110,1,26,,
2,10,1019,20220611,1,34,,
2,10,1205,20260103,1,41,,
2,10,1219,20260411,2,15,,
2,10,1209,20260131,2,17,,
2,10,1142,20241019,2,30,,
2,10,1188,20250906,3,19,,
2,10,1218,20260404,3,45,,
2,10,1183,20250802,4,15,,
2,10,1205,20260103,4,16,,
2,10,1089,20231014,4,18,,
2,10,1154,20250111,4,26,,
2,10,1188,20250906,4,27,,
2,10,1106,20240210,4,29,,
2,10,1173,20250524,5,18,,
2,10,1173,20250524,5,20,,
2,10,1202,20251213,5,21,,
2,10,1213,20260228,5,27,,
2,10,1202,20251213,5,37,,
2,10,1169,20250426,5,39,,
2,10,1036,20221008,5,45,,
2,10,1148,20241130,6,15,,
2,10,1185,20250816,6,32,,
